path,SMT-RAT,,SMTInterpol,,Yices2,,Z3alpha,,cvc5,
,solved,runtime,solved,runtime,solved,runtime,solved,runtime,solved,runtime
QF_NRA/20161105-Sturm-MBO/mbo_E10E12.smt2,1,1.4817790490051266,0,0.7987292750040069,1,0.24075006099883467,0,62.71568779202062,1,0.6044523669988848
QF_NRA/20161105-Sturm-MBO/mbo_E10E17.smt2,0,1201.7211731289863,0,2.037728502997197,0,1201.2244230940123,0,1201.719100702001,0,1201.7457910939993
QF_NRA/20161105-Sturm-MBO/mbo_E10E24.smt2,0,1201.726666698989,0,1.906873053056188,0,1201.2173756590055,0,1201.7182155769842,0,1201.717805305001
QF_NRA/20161105-Sturm-MBO/mbo_E10E27.smt2,0,1201.7153513910016,0,0.7989041280234233,0,1201.225776117004,0,86.80626205800218,0,1201.7318215319829
QF_NRA/20161105-Sturm-MBO/mbo_E11E19.smt2,1,8.305404679995263,0,1.2451287100557238,1,0.2655213930120226,1,7.682108537002932,1,1.6041668560064863
QF_NRA/20161105-Sturm-MBO/mbo_E12.smt2,1,0.2870366340212058,0,0.5317576080560684,1,0.22202404498239048,1,17.16978391399607,1,0.2606403239769861
QF_NRA/20161105-Sturm-MBO/mbo_E12E16.smt2,0,1201.7112528870057,0,2.4443403399782255,0,1201.2207630370103,0,1201.7366861269984,0,1201.7115289320063
QF_NRA/20161105-Sturm-MBO/mbo_E14E19.smt2,0,1201.7389870460029,0,1.882252955925651,0,1201.2432987430075,0,1201.7180298620078,0,1201.7175279950025
QF_NRA/20161105-Sturm-MBO/mbo_E14E20.smt2,0,1201.7127236940141,0,2.010781824006699,0,1201.2205406559806,0,1201.7192321710172,0,1201.712709184998
QF_NRA/20161105-Sturm-MBO/mbo_E14E22.smt2,0,1201.7383796070062,0,1.7855924899922684,0,1201.219418713008,0,1201.7186222570017,0,1201.7176015480072
QF_NRA/20161105-Sturm-MBO/mbo_E15.smt2,1,0.2405159600020852,0,0.529179694945924,1,0.2195254199905321,1,17.15208326600259,1,0.2768877599737607
QF_NRA/20161105-Sturm-MBO/mbo_E15E18.smt2,1,364.25729051601957,0,1.9171008430421352,1,0.27970549897872843,1,51.348923901008675,1,7.988196610996965
QF_NRA/20161105-Sturm-MBO/mbo_E15E24.smt2,1,179.41893712698948,0,2.0935548570705578,1,0.2777333350095432,1,42.540297397994436,1,7.795834765012842
QF_NRA/20161105-Sturm-MBO/mbo_E16E19.smt2,0,1201.7195054200129,0,2.480487026972696,0,1201.2734982160036,0,1201.7178575450089,0,1201.7199775949994
QF_NRA/20161105-Sturm-MBO/mbo_E17E21.smt2,0,1201.7102261560212,0,0.5815887399949133,0,1201.2281363199872,0,1201.7237697939854,0,1201.7120757490047
QF_NRA/20161105-Sturm-MBO/mbo_E19E20.smt2,1,1.5094656980072614,0,0.7554111100034788,1,0.22496900099213235,0,40.61937957201735,1,0.5206875239964575
QF_NRA/20161105-Sturm-MBO/mbo_E19E22.smt2,1,13.955263584008208,0,1.8931508869864047,1,0.2673449989815708,1,33.905514690995915,1,5.660809573018923
QF_NRA/20161105-Sturm-MBO/mbo_E19E27.smt2,1,1.1717588939936832,0,0.9470074980054051,1,0.23318553101853468,0,106.03388035899843,1,0.6854933249996975
QF_NRA/20161105-Sturm-MBO/mbo_E1E20.smt2,1,16.072138265008107,0,1.9917696400079876,1,0.26891714698285796,1,33.21067317001871,1,5.904034156003036
QF_NRA/20161105-Sturm-MBO/mbo_E1E7.smt2,1,8.633636579004815,0,1.5492078309180215,1,0.2529083499975968,1,20.692233248992125,1,3.487862954993034
QF_NRA/20161105-Sturm-MBO/mbo_E21E25.smt2,0,1201.7383901040012,0,0.6341118490090594,0,1201.2146894339821,0,1201.7113152859965,0,1201.71600317501
QF_NRA/20161105-Sturm-MBO/mbo_E22E23.smt2,1,0.2222566150012426,0,0.44014928699471056,1,0.21748966601444408,1,0.26995232299668714,1,0.2282684009987861
QF_NRA/20161105-Sturm-MBO/mbo_E25E28.smt2,1,0.3909801109984983,0,0.6357471140800044,1,0.22075637598754838,1,30.24344931700034,1,0.29936350500793196
QF_NRA/20161105-Sturm-MBO/mbo_E2E11.smt2,1,5.41303432098357,0,1.3636107899947092,1,0.24527875101193786,1,11.03206220298307,1,2.1774875719856936
QF_NRA/20161105-Sturm-MBO/mbo_E2E15.smt2,1,33.061519849987235,0,2.280791918048635,1,0.3151005329855252,1,66.11332966398913,1,9.993450448004296
QF_NRA/20161105-Sturm-MBO/mbo_E2E19.smt2,1,45.459696443984285,0,2.21573483501561,1,0.31378710200078785,1,85.46719864101033,1,9.720032067998545
QF_NRA/20161105-Sturm-MBO/mbo_E2E27.smt2,1,0.7926378669799305,0,1.0967964270384982,1,0.24751938399276696,1,4.456070183019619,1,1.165387192973867
QF_NRA/20161105-Sturm-MBO/mbo_E3.smt2,1,0.87187900202116,0,0.7204017990734428,1,0.2249341220012866,1,0.41146240298985504,1,0.3863756689825095
QF_NRA/20161105-Sturm-MBO/mbo_E3E7.smt2,1,141.10159106799983,0,1.57298761990387,1,0.26830257900292054,1,19.442532117012888,1,4.065076598984888
QF_NRA/20161105-Sturm-MBO/mbo_E4E15.smt2,0,1201.7212441560114,0,2.5413754920009524,0,1201.2410104550072,0,1201.7193813010235,0,1201.7115686559991
QF_NRA/20161105-Sturm-MBO/mbo_E4E21.smt2,0,1201.7204705579788,0,1.861477299942635,0,1201.2373775379965,0,1201.748764407006,0,1201.7379343110078
