path,OSTRICH,,Z3-Noodler,,Z3alpha,,cvc5,
,solved,runtime,solved,runtime,solved,runtime,solved,runtime
QF_SLIA/2015-Norn/ChunkSplit/norn-benchmark-10.smt2,1,1.4512495170347393,1,0.24462903197854757,1,0.2694398129824549,1,0.23242365708574653
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-101.smt2,1,1.6258323299698532,1,0.24350574193522334,1,0.2765244129113853,1,0.22275954112410545
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1010.smt2,1,8.089927116176113,1,0.24932022602297366,1,0.30597078800201416,1,0.23313255398534238
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1018.smt2,1,6.802824957994744,1,0.24618470715358853,0,1201.7155646940228,0,1201.7186183598824
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1041.smt2,1,5.667514358879998,1,0.24854666995815933,1,0.3309884511400014,1,0.26499365898780525
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1049.smt2,1,6.7209628948476166,1,0.24871721491217613,1,32.49211941100657,1,30.416603724937886
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1062.smt2,1,10.766536271898076,1,0.24941290798597038,1,0.3660231130197644,1,0.689526435919106
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1063.smt2,1,10.268727828050032,1,0.24869150598533452,0,1201.7160834358074,0,1201.737409322057
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1074.smt2,1,10.158120824955404,1,0.2519120927900076,0,1201.7359018411953,0,1201.7140575819649
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1079.smt2,1,3.140679470030591,1,0.27742184489034116,1,0.30797741399146616,1,0.2465935368090868
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1098.smt2,1,11.070718016009778,1,0.24779326817952096,1,0.29533306998200715,1,0.2385645261965692
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1128.smt2,1,3.830359354848042,1,0.24863515188917518,1,0.28575767390429974,1,0.2608397980220616
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1167.smt2,1,3.884261937113479,1,0.2734819729812443,1,0.2922520579304546,1,0.2567933709360659
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-118.smt2,1,2.543882049852982,1,0.24302085512317717,1,1073.2528311240021,0,1201.717674775049
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-119.smt2,1,3.047927614999935,1,0.24205010198056698,1,0.2918372491840273,1,0.25140713690780103
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-1194.smt2,1,1.734968404052779,1,0.24175715213641524,1,0.3020685948431492,1,0.2501989908050746
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-197.smt2,1,2.0566718159243464,1,0.25730880605988204,1,0.28296324820257723,1,0.24393972102552652
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-200.smt2,1,3.18464782088995,1,0.2506582848727703,1,0.27945776283741,1,0.273028546012938
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-210.smt2,1,3.212644867831841,1,0.26528652012348175,1,0.28211715491488576,1,0.4691792060621083
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-242.smt2,1,2.5699590919539332,1,0.24316720804199576,0,1201.7164388699457,1,0.22791794198565185
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-246.smt2,1,2.0148467218969017,1,0.24503925209864974,1,0.26581235602498055,1,0.23973369295708835
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-34.smt2,1,2.2168141200672835,1,0.2508602428715676,1,0.2807148809079081,1,0.25740899494849145
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-365.smt2,1,5.109467837959528,1,0.25346886995248497,1,0.2945879250764847,1,0.23146456782706082
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-368.smt2,1,4.683501601917669,1,0.2493723169900477,1,0.27647106209769845,1,0.3039750470779836
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-370.smt2,1,6.228929344099015,1,0.2773111548740417,0,1201.718298841035,0,1201.7331697561312
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-402.smt2,1,2.846324675017968,1,0.24256991501897573,1,0.2984764592256397,1,0.22181704896502197
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-457.smt2,1,8.605655359104276,1,0.25502992793917656,1,0.348860546015203,1,0.2554613531101495
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-465.smt2,1,4.369330323999748,1,0.243999038124457,1,0.2686559301801026,1,0.23852950800210238
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-467.smt2,1,4.279829172184691,1,0.24531115288846195,1,0.3172296539414674,1,0.25554145383648574
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-474.smt2,1,5.275624990928918,1,0.2440002979710698,1,0.29933297098614275,1,0.25133722298778594
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-489.smt2,1,2.7469812729395926,1,0.24287456506863236,1,1073.3480890521314,1,0.22549280989915133
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-517.smt2,1,2.8217753230128437,1,0.2410715939477086,1,0.2682375309523195,1,0.24260276509448886
QF_SLIA/2015-Norn/HammingDistance/norn-benchmark-531.smt2,1,5.309827676974237,1,0.2501809310633689,1,0.39972840901464224,1,0.38020744803361595
